firstName	lastName	bio	birth	death	image	nid
Joseph	Jacobs	Australian-born American Folklorist, Literary Critic and Historian	1854	1916	joseph_jacobs[1].jpg	239498
Henry	James	Anglo-American Novelist, son of Henry James, Sr. and brother of philosopher and psychologist William James and diarist Alice James	1843	1916	Swynnerton%20Henry%20James%20l[1].jpg	239505
Robert	Jarvik, fully Robert Koffler Jarvik, M.D.	American Scientist, Researcher and Entrepreneur, known for developing the Jarvik-7 Artificial Heart	1946	NULL	Robert_Jarvik.jpg	239510
Richard	Jefferies, fully John Richard Jefferies	English Enlightened Author, Nature Writer, Essayist and Novelist	1848	1887	171849-003-975F992F[1].jpg	239515
Elizabeth	Jeffries	English Executed Murderess	1727	1752	220px-Paul_Delaroche_-_The_Execution_of_Lady_Jane_Grey[1].jpg	239521
Douglas William	Jerrold	English Playwright, Editor, Humorist	1803	1857	douglas-william-jerrold-avatar-1775[1].jpg	239523
Lady Bird	Johnson, fully Claudia Alta "Lady Bird" Taylor Johnson	American Recipient of the Presidential Medal of Freedom and Congressional Gold Medal, First Lady of the United States, wife of President Lyndon B. Johnson	1912	2007	220px-Lady_Bird_Johnson%2C_photo_portrait%2C_standing_at_rear_of_White_House%2C_color%2C_crop[1].jpg	239527
Becky "Buckwild"	Johnston	Stand-up Comic	1981	NULL	Becky-Johnston[1].jpg	239540
Archer G.	Jones	American Historian	1926	2000	archer-jones[1].jpg	239542
Chuck	Jones, fully Charles Martin "Chuck" Jones	American Cartoonist, Director, Animator, Screenwriter, Producer and director of animated films, most memorably of Looney Tunes and Merrie Melodies shorts for Warner Bros. Cartoons Studio	1912	2002	chuck-jones[1].jpg	239544
Franklin P.	Jones	Reporter, Public Relations Executive and Humorist	1908	1980	lens7905451_1257369162FPJ_Squidoo_pic[1].jpg	239546
Martyn	Lloyd-Jones, fully David Martyn Lloyd Jones	Welsh Theologian, Protestant Minister and Medical Doctor	1899	1981	lloyd-jones[1].jpg	239548
Michael	Jordan, fully Michael Jeffrey Jordon, aka MJ, Air Jordan and His Airness	American Professional Basketball Player, Entrepreneur and Majority Owner of the Charlotte Hornets	1963	NULL	200px-Jordan_Lipofsky[1].jpg	239556
Chief	Joseph, born Hinmuuttu-yalatlat	Humanitarian, Peacemaker, Chief of teh wal-lam-wat-kain (Wallowa) band of Nez Perce	1840	1904	ChiefJoseph5-500[1].jpg	239559
Michael S.	Josephson	American Ethicist, Law Professor, Attorney, Author, Speaker and Lecturer, President and Founder of Josephson Institute	1942	NULL	n1534560765_2678[1].jpg	239563
Joseph	Joubert	French Essayist, Moralist	1754	1824	Joseph_Joubert[1].jpg	239585
Benjamin	Jowett	English Theologian, Scholar	1817	1893	JowettBenjaminThm[1].jpg	239589
James	Joyce	Irish Novelist, Short-Story Writer, Poet	1882	1941	james-joyce[1].jpg	239592
Benito	Juárez , born Benito Pablo Juárez García	Mexican Lawyer and Politician of Zapotec origin from Oaxaca, Five-term President of Mexico	1806	1872	g150342_u43962_pers_juarez1[1].jpg	239594
Raúl	Juliá, aka Raul Rafael Carlos Julia y Arceley	American Puerto Rican Actor	1940	1994	rj1[1].jpg	239597
Franz	Kafka	Czech-born German Writer of  Visionary Fiction Novels	1833	1924	franz-kafka[1].jpg	239619
Inayat	Khan, aka Hazrat Inayat Khan, fully Pir-O-Murshid Hazrat Inayat Khan	Indian Teacher of Sufism, Musician, Teacher, Founder of The Sufi Order in the West (now called the Sufi Order International)	1882	1927	inayat%20khan[1].JPG	239621
Kālidāsa 	NULL	Sanskrit Poet and Dramatist	c. 4th Century	c. 5th Century	Kalidasa_poet[1].jpg	239625
Henry J.	Kaiser	American Industrialist	1882	1967	Hkaiser[1].jpg	239627
Chiang	Kai-shek	Chinese Military and Political Leader, Generalissimo and President of the Republic of China	1887	1975	cks-sm[1].jpg	239630
Jurriaan	Kamp	Dutch-born American Founder of Ode Magazine (now The Intelligent Optimist) to publish stories about ideas and people making a difference for "intelligent optimists"	1959	NULL	main[1].jpeg	239632
Immanuel	Kant	German Philosopher, Metaphysician	1724	1804	NULL	239634
Alan Curtis	Kay	American Computer Scientist, President of the Viewpoints Research Institute, Adjunct Professor of Computer Science at the University of California	1940	NULL	alan-curtis-kay--1301--t-232x250xffffff-rw[1].jpg	239646
Nikos	Kazantzakis	Greek Writer and Philosopher best known for his novel, "Zorba the Greek" as well as "The Saviors of God" and "The Last Temptation of Christ"	1923	1957	nikos_kazantzakis[1].jpg	239649
John	Keats	English Romantic Lyric Poet	1795	1821	John-Keats[1].jpg	239651
Damon	Keith, fully Damon Jerome Keith	American Senior Judge for the U.S. Court of Appeals for the Sixth Circuit	1922	NULL	damon_keith_6922_fb_wdet_leadin_thumb[1].jpg	239657
James	Keller	Roman Catholic Priest, Founded The Christophers inspirational group	1900	1977	JamesKeller[1].jpg	239679
Mary Ann	Kelty	English Author	1789	1873	9781430452348[1].jpg	239681
Robert	Kennedy, fully Robert Francis "Bobby" Kennedy	American Politician, Senator, U.S. Attorney General, Assassinated during his Presidential Campaign, known as RFK, brother of President John F. Kennedy	1925	1968	robert-kennedy[1].jpg	239692
Jack	Kerouac, born Jean-Louis Lebris de Kérouac	American Writer, Poet, Novelist, Artist, Free Thinker, Visionary, Philosopher, Rebel, Co-Founder of the Beat Generation	1922	1969	portrait_of_jack_kerouac_by_bentjoelker-d5mpjwb[1].jpg	239696
Jean	Kerr	American Essayist, Playwright	1922	2003	mhclark2[1].jpg	239699
John Maynard	Keynes	British Economist	1883	1946	jmk-keynes[1].jpg	239706
Hermann	Keyserling, fully Hermann Alexander Graf Keyserling	Swiss Philosopher	1880	1946	Hermann_keyserling[1].jpg	239709
H. Roy	Kim	NULL	NULL	NULL	knight-in-shining-armour[1].jpg	239711
Coretta Scott	King	American Author, Activist, and Civil Rights Leader, wife Martin Luther King, Jr., helped lead the African-American Civil Rights Movement in the 1960s	1927	2006	coretta_scott_king[1].jpg	239713
Francis "Frank"	Kingdon	English Botanist, Explorer, Plant Collector and Author	1885	1958	images[2].jpg	239730
Frederick Joseph "F. J."	Kinsman	American Roman Catholic Church Historian, Bishop of the Protestant Episcopal Church	1868	1944	bishopFrederickKinsman120px[1].jpg	239735
Grayson	Kirk, fully Grayson Louis Kirk	American Educator, President of Columbia University	1903	1997	Kirk[1].jpg	239737
George Ross	Kirkpatrick	American Anti-Militarist Writer and Political Activist, Socialist Party Vice Presidential Candidate	1867	1937	250px-Kirkpatrick-poster-1916[1].jpg	239739
Elizabeth	Kiss (pronounced "quiche")	American Educator, President of Agnes Scott College	1961	NULL	Kiss[1].jpg	239741
Henry	Kissinger, fully Henry Alfred Kissinger	German-born American Politician, Ambassador, Secretary of State	1923	NULL	henry-kissinger-glasses[1].png	239744
Robert	Kiyosaki, fully Robert Toru Kiyosaki	American Businessman, Investor, Financial Literacy Activist, Motivational Speaker and Best-Selling Author of "Rich Dad, Poor Dad" books	1947	NULL	robertkiyosaki[1].jpg	239751
Amy	Kleer	NULL	NULL	NULL	1907134582971_NYBHlQv9_l[1].jpg	239755
Amy Elizabeth	Ray and Emily Saliers	Singer-Songwriters, Members of the Indigo Girls	1964	NULL	4861777[1].jpg	239758
Grenville	Kleiser	Canadian-born American Author	1868	1935	mans-face1[1].png	239760
Lutz	Kleveman	German Freelance Investigative Journalist, Photographer and Author	1974	NULL	wretruprecriwas	239763
Richard	Kline	American Actor and Television Director	1944	NULL	richard-kline-1[1].jpg	239765
Bobby	Knight	American Basketball Coach	1940	NULL	knight[1].jpg	239767
Brian	Knutson	American Psychology Professor at Stanford University	1977	NULL	bkscancrop[1].jpg	239769
Arthur	Koestler	Hungarian-born British Novelist	1905	1983	ArthurKoestler1905-83[1].jpg	239771
Alfie	Kohn	American Author and Lecturer on Education, Parenting and Human Behavior	1957	NULL	26wepeople2[1].r[1].jpg	239775
John	Konstanturos	Founder of Continuous Renewal committed to transforming every home and workplace into a university of life 	NULL	NULL	27339_1465457642_6341_n[1].jpg	239779
Michael	Korda	English Writer and Novelist, Editor-in-Chief of Simon & Schuster in New York City	1933	NULL	Korda[1].jpg	239782
Jack	Kornfield	American Psychotherapist, Meditation Teacher, Author	NULL	NULL	NULL	239784
Jonathan	Kozol	American Educator, Author	1936	NULL	200px-Jonathan_Kozol[1].jpg	239788
Glenville	Kreisler	American Author	1868	1953	happiness1s4[1].jpg	239790
Nicholas D.	Kristof, fully Nicholas Donabet Kristof	American Journalist, Author, Op-Ed Columnist for the New York Times, Winner of two Pulitzer Prizes	1959	NULL	NicholasKristof[1].jpg	239796
Joseph Wood	Krutch	American Critic, Essayist, Teacher and Naturalist	1893	1970	Joseph_Wood_Krutch[1].jpg	239801
Maggie	Kuhn	American Radical Social Activist for Nursing Home Reform and Fighting Ageism, Founder of Gray Panthers	1905	1995	l44674-1[1].jpg	239804
Milan	Kundera	Czech-born French Writer, Playwright and Author who lived in exiled in France 	1929	NULL	kundera2[1].jpg	239806
Charles	Kuralt	Television Magazine Program Host	1934	1997	146-d-KuraltCharles_HughMortonColl_web[1].jpg	239808
Neil	Kurshan	American Rabbi of the Huntington Jewish Center and Author of Raising Your Child to be a Mensch	1948	NULL	Rabbi-March-2010-199x300[1].jpg	239810
Harold 	Kushner, fully Harold Samuel Kushner	American Conservative Rabbi, Best-selling author of When Bad Things Happen to Good People	1935	NULL	haroldkushnersm[1].jpg	239812
Ninon de	L'Enclos, also spelled Ninon de Lenclos and Ninon de Lanclos	French Author, Courtesan and Patron of the Arts	1620	1705	ninon-1-282x300[1].jpg	239816
Freddie	Laker, fully Sir Frederick Alfred Laker	British Airline Entrepreneur, Founder of Laker Airways	1922	2006	_42402111_freddie_laker_bbc_416[1].jpg	239825
Corliss	Lamont	American Socialist Philosopher, advocate of left-wing and civil liberties causes	1902	1995	3_humanism[1].jpg	239827
Ann	Landers, pen name created by Chicago Sun-Times advice columnist Ruth Crowley in 1943 and taken over by Eppie Lederer in 1955	American Gossip, Writer, Columnist	1918	NULL	ann-landers-2-sized[1].jpg	239835
Dale R.	Landry	Restorative Justice Consultant	1949	2010	dale_pic[1].jpg	239839
Frances Moore	Lappé	Author of books including Diet for a Small Planet, Co-founder of three national organizations that explore the roots of hunger, poverty and environmental crises	1944	NULL	200px-FMLappeKamphausen(c)SteffiBehrmann09[1].jpg	239847
Gerald Alexander	Larue	American Educator, Professor of Religion and Gerontology at USC	NULL	NULL	Larue-photo[1].jpg	239849
Bobby	Layne, fully Robert Lawrence "Bobby" Layne	American NFL Quarterback	1926	1986	Bobby_Layne[1].jpg	239866
Richard 	Leakey, fully Richard Erskine Frere Leakey	Kenyan Politician, Paleoanthropologist and Conservationalist	1944	NULL	lea0-019[1].jpg	239870
Frances	Lear	Activist, Magazine Publisher and Writer	1923	1996	Frances_Lear-9[1].jpg	239872
Norman	Lear, fully Norman Milton Lear	American Political and Social Activist, Philanthropist, Television and Film Producer, Writer and Director known for sitcoms including All in the Family, Sanford and Son, One Day at a Time, The Jeffersons, Good Times and Maude	1922	NULL	WireImage_712990[1].jpg	239874
Joseph E.	LeDoux	American Professor of Neural Science and Psychology, Neuroscientist and Rocker	1949	NULL	Joe%20in%20the%20office%20-%20better%20one_p2[1].jpg	239876
Bruce	Lee	Chinese American and Hong Kong Actor, Martial Arts Instructor, Philosopher, Film Director, Producer, Screenwriter, and Founder of the Jeet Kune Do martial arts movement	1940	1973	bruce-lee-bruce-lee-32792004-1060-1475[1].jpg	239880
Leonard	Leeman	American Author	NULL	NULL	61Ph%2Bw1y7yL._SL500_AA300_[1].gif	239882
Jack	Lemmon, formally John Uhler "Jack" Lemmon III	American Actor and Musician	1925	2001	Jack-Lemmon-9378762-1-402[1].jpg	239886
Patrick	Lencioni	American Business Consultant, Author, Founder and President of The Table Group	1962	NULL	Lencioni-Patrick[1].jpg	239888
John	Lennon	English Composer, Musician, Founder of The Beatles	1940	1980	John-Lennon_5[1].jpg	239890
John	Leonard	NULL	NULL	NULL	2008-8-500[1].jpg	239894
Max	Lerner, fully Maxwell "Max" Alan Lerner, aka Mikhail Lerner	Russsian-born American Teacher, Editor and Journalist	1902	1992	max-lerner-1[1].jpg	239898
Doris	Lessing, fully Doris May Lessing, born Doris May Tayler	British Writer, Nobel Prize in Literature	1919	NULL	lessing2_200-6d85b6f87cbb7d929069b41450aef126e983f71a-s6-c10[1].jpg	239900
Henry M.	Levin	William H. Kilpatrick Professor of Economics & Education at Teachers College	1938	NULL	Henry%20M.%20Levin[1].jpg	239904
Roger	Lewin	British Anthropologist, Scientist, Editor and Author, Staff member of New Scientist in London	c. 1955	NULL	lewin[1].jpg	239906
Grace	Lichtenstein	American Author, Editor, New York Times Reporter and Book Critic	1941	NULL	Grace_lichtenst-210[1].jpg	239919
Anne Morrow	Lindbergh, born Anne Spencer Morrow	American Writer and Pioneering Aviator, Author of Gifts of the Sea	1906	2001	AnneMorrowLindbergh[1].jpg	239939
Raymond	Lindquist, fully Raymond Irving Lindquist	American Presbyterian Pastor in California, Awarded The Frederick Neumann Award for Excellence in Greek and Hebrew	1907	2001	1_59de5d9b_cHM6KzAwMDAwMDZjMDljODhiMGY_96c96_ffffff00[1].jpg	239943
William John	Locke	British Guyana-born Novelist and Playwright	1863	1930	William_John_Locke_001[1].jpg	239947
George	Lois	Controversial American Art Director, Designer, and Author, known for over 92 covers he designed for Esquire Magazine	1931	NULL	lois-final-png-460x307[1].png	239952
Lazarus	Long, fictional character created by Robert A. Heinlein	Fictional character created by Robert A. Heinlein in a number of science fiction novels.  	NULL	NULL	lazarus_long_01[1].jpg	239966
Henry Wadsworth	Longfellow	American Poet, Translator	1807	1882	1333568544[1].jpg	239968
Lawrence G.	Lovasik	American Author and Catholic Priest	1913	1986	LawrenceGLovasik[1].jpg	239977
John	Lubbock, 1st Baron Avebury, 4th Baronet, Sir John Lubbock	Polymath and Liberal Member of Parliament	1813	1913	230px-John_Lubbock72[1].jpg	239979
Max	Lucado	American Author, Writer and Pulpit Preacher	1955	NULL	max+lucado[1].jpg	239981
F. L. 	Lucas, fully Frank Laurence "F. L." Lucas	English Literary Critic, Poet, Novelist, Playwright, Political Polemicist and Fellow at King's College, Cambridge	1894	1967	mw216029[1].jpg	239988
Clare Booth	Luce	American Author, Politician, Diplomat	1903	1987	clare-booth-luce[1].jpg	239990
Luther	Standing Bear, aka Ota Kte or Mochunozhin	Sioux Writer and Actor	1868	1939	full[1].jpg	239992
Martin	Luther	German Theologian, Founder of the Protestant Reformation	1483	1546	martin-luther[1].jpg	239995
John	Lyly or Lilly or Lylie	English Prose, Writer, Poet, Playwright	c. 1554	1606	NULL	239999
Charles	Lynch	American Boxer	1878	1950	GeorgeHolden-11[1].jpg	240001
Ed	Macauley, fully Charles Edward "Ed" Macauley, nicknamed "Easy Ed"	American Professional Basketball Player	1928	2011	macauley_ed[1].jpg	240005
Copthorne	Macdonald	American-Canadian Writer, Independent Scholar, and Communication Systems Engineer, writes about the nature and development of Wisdom, new perspectives on Mental and Physical Reality, and creating a Sustainable Future, eveloped the slow-scan TV system used worldwide in amateur radio, founded New Directions Radio to foster socially-relevant communication, established a popular Internet-based compilation of wisdom-related resources called The Wisdom Page	1936	2011	macdonald~s200x200[1].jpg	240015
George	MacDonald	Scottish Author, Poet and Minister known for his fairy tales and fantasy works	1824	1905	full[1].jpg	240017
Norman	MacEwen, fully Sir Norman Duckworth Kerr MacEwen	British Air Vice Marshal and Senior Commander in the Royal Air Force	1881	1953	150px-N_D_K_MacEwan[1].jpg	240019
Harvey	Mackay	American Businessman, Columnist and Author	1932	NULL	Harvey-Mackay_208_4713[3].jpg	240021
Ian	Maclaren, pseudonymn of Rev. John Watson	Scottish Author and Theologian	1850	1907	maclaren[1].jpg	240023
Archibald	MacLeish	American Poet, Writer, Librarian of Congress	1892	1982	macleish[1].jpg	240025
James	Madison	4th President of the United States	1751	1836	madison[1].jpg	240027
Sidney	Madwed	American Speaker, Poet, Lyricist and Author	c. 1948	NULL	7277[1].jpg	240032
Mahabharata or The Mahabharata	NULL	Traditionally, authorship of The Mahabharata is attributed to Vyasa, it is one of the two major Sanskrit epics of ancient India, the other being the Ramayana	c. 400 B.C.	c. 300 B.C.	mahabharata_war[1].jpg	240037
Alfred Thayer	Mahan	United States Navy Flag Officer, Geostrategist and Historian, called "the most important American strategist of the nineteenth century", Rear Admiral	1840	1914	head0_alfred_thayer_mahan_0000[1].jpg	240039
Naguib	Mahfouz	Egyptian Author, Awarded Nobel Prize for Literature	1911	2006	naguib_mahfouz_2006-717165[1].jpg	240045
Norman	Mailer, fully Norman Kingsley Mailer	American Author, Novelist, Journalist, Poet, Playwright, Screenwriter and Film Director	1923	2007	norman-mailer-1[1].jpg	240047
Maimonides, given name Moses ben Maimon or Moshe ben Maimon, known as "Rambam"	NULL	Spanish-born Jewish Philosopher, Great Torah Scholar and Physician	1135	1204	1839679[2].jpg	240049
Walter F.	Malone	American	1886	1963	benefit%2Bof%2Bdoubt[1].jpg	240054
André	Malraux	French Novelist, Critic, Adventurer, Award-winning Author, and Statesman	1901	1976	andrc3a9-malraux[1].jpg	240056
Morris	Mandel	Polish-born American Jewish Educator and Journalist	1911	2009	morris-250x350[1].jpg	240065
Nelson	Mandela, fully Nelson Rolihlahla Mandela	South African President, Anti-Apartheid Activist, Leader of Umkhonto we Sizwe, the armed wing of the African National Congress, Awarded Nobel Peace Prize	1918	2013	caricature_mandela_by_jeff_stahl_by_jeffstahl-d6hhetz[1].jpg	240067
Horace	Mann	American Education Reformer	1796	1859	mann2[1].jpg	240087
Reginald B.	Mansell	NULL	NULL	NULL	p001_0_01_01[1].jpg	240091
Peyton Conway	March	American Soldier and Army Chief of Staff	1864	1955	115414-004-0E43D4E1[1].jpg	240095
Lou	Marinoff	Canadian-born American Professor of Philosophy at The City College of New York and University College in London, Author of Plato, Not Prozac!	NULL	NULL	lou_marinoff_headshot_29[1].gif	240103
Edwin	Markham	American Poet	1852	1940	edwin-markham-fb760d5aba2a571b[1].jpg	240107
Christopher	Marlowe	English Dramatist, Poet	1564	1593	marlowe[1].jpg	240109
Don	Marquis, fully Donald Robert Perry Marquis	American New York Newspaper Columnist, Novelist, Poet, Playwright and Humorist	1878	1937	Don_Marquis[1].jpg	240111
George	Marshall, fully George Catlett Marshall, Jr. 	US Army Chief of Staff, General, Secretary of State, Secretary of Defense, Nobel Laureate	1880	1959	250px-General_George_C._Marshall,_official_military_photo,_1946[1].JPEG	240114
John A.	Marshall, fully John Aloysius Marshall	American Prelate of the Roman Catholic Church	1928	1994	photo_200_marshall[1].jpg	240116
Peter	Marshall	Scottish American Preacher, Chaplain of the United States Senate, known from biography titled "A Man Called Peter"	1902	1949	marshall_peter2[1].jpg	240126
Harriet	Martineau	English Author, Social Theorist and Whig Writer	1802	1876	TrollopeP[1].jpg	240134
Karl	Marx	German Philosopher, Sociologist, Economic Historian, Journalist and Revolutionary Socialist	1818	1883	250px-Karl_Marx_001[1].jpg	240136
Abraham Harold	Maslow	American Psychologist, Philosopher, Professor of Psychology at Brandeis University, Founded Humanistic Psychology and Created Maslow's Hierarchy of Needs	1908	1970	MaslowAbrahamThm[1].jpg	240139
Philip	Massinger	English Playwright, Poet and Dramatist	1583	1640	massinger2[1].jpg	240151
Holiday	Mathis	American Author who writes a Syndicated Horoscope Column	NULL	NULL	62087[1].jpg	240155
W. Somerset	Maugham, fully William Somerset Maugham	English Playwright, Novelist and Short Story Writer	1874	1965	Maugham_facing_camera[1].jpg	240160
Daphne Du	Maurier, fully Dame Daphne du Maurier, Lady Browning	English Author	1907	1989	daphne-du-maurier-05[1].jpg	240164
Rollo	May, fully Rollo Reese May	American Existential and Humanist Psychologist, Existential Philosopher and Humorist	1909	1994	Rollo%2BMay[1].jpg	240166
Benjamin E.	Mayes	African American Scholar, President of Morehouse College	1894	1984	Benjamin_E_Mays_official_portrait[1].jpg	240168
M. H.	McKee	American Rancher	1859	1936	pict_integrity[1].jpg	240174
E. C.	McKenzie	Collector of Words of Wisdom, Witticisms and Quick Comebacks, possibly Minister to the Francis Avenue Church of Christ	1881	1965	51JDWVM5PYL._SL500_AA300_[1].jpg	240176
Larry	McMurtry	American Novelist, Essayist, Bookseller and Screenwriter. Best known for novels Terms of Endearment and Pulitzer Prize-winning novel Lonesome Dove	1936	NULL	104814-004-1DB15A53[1].jpg	240182
Peter	McWilliams, fully Peter Alexander McWilliams	American Writer and Self-Publisher of Self-help books, Cannabis Medical Activist due to being terminally ill with AIDS and cancer, convicted for violating federal marijuana laws, even though medical marijuana was legal under California state law, later choked to death on his own vomit when forced to switch from cannabis to Marinol in order to remain free on bond pending sentencing	1949	2000	Please_love_me_1987.jpg	240184
Margaret	Mead	American Cultural Anthropologist and Psychologist	1901	1978	MargaretMead[1].jpg	240187
Peter	Medawar, fully Sir Peter Brian Medawar	Brazilian-born British Biologist who worked on graft rejection, awarded Nobel Prize in Physiology or Medicine	1915	1987	kroto[1].jpg	240191
Harold B.	Melchart	NULL	NULL	NULL	mountain_climbing[1].jpg	240193
Herman	Melville	American Novelist, Short-Story Writer, Poet	1819	1891	herman_melville[1].jpg	240195
Menander, aka Menander of Athens	NULL	Greek Comic Playwright, Poet and Dramatist	c. 342	292 B.C.	phoenix_ancient_art_roman_marble_portrait_of_menander_12341946541799[1].jpg	240198
Mencius, born Meng Ke or Ko	NULL	Chinese Philosopher, most famous Confucian after Confucius himself	372 B.C.	289 B.C.	mencius2[1].jpg	240204
Karl	Menninger, fully Karl Augustus Menninger	American Psychiatrist, Founded the Menninger Foundation and Menninger Clinic	1893	1990	dr-karl-menninger-2[1].jpg	240213
Gian-Carlo	Menotti	Italian Opera Composer and Librettist	1911	2007	menotti[1].jpg	240218
Franz	Metcalf	American Buddhist Scholar, Professor of Religious Studies at California State University, Los Angeles, Author of "What Would Buddha Do?" and "Buddha in Your Backpack" 	1960	NULL	metcalf[1].jpg	240220
Jordan S.	Metzger	American Author	NULL	NULL	jordan_suite_sm[1].jpg	240224
Paul J.	Meyer	American Author, Entrepreneur, Philanthropist, Insurance Salesman, Founded Success Motivation Institute and Leader Management Institute	1928	2009	Paul-J-Meyer-hr[1].jpg	240227
Robert A.	Millikan, fully Robert Andrews Millikan	American Experimental Physicist, Nobel Laureate in Physics for his measurement of the charge on the electron and for his work on the photoelectric effect	1868	1953	robertmillikan[1].jpg	240231
John Stuart	Mill	English Philosopher, Economist and Civil Servant	1806	1873	John_Stuart_Mill-2[1].jpg	240233
Arthur Asher	Miller	American Playwright, Novelist, notably Death of Salesman, The Crucible and All My Sons	1915	2005	Miller,%20Arthur[1].jpg	240239
Harlan	Miller	English Writer and Artist	1964	NULL	Harlan%20Photo%20big%20website[1].jpg	240241
Timothy	Miller, fully Timothy S. Miller	American Professor of Religious Studies, Author and Activist with a special interest in intentional communities and new religious movements	c. 1946	NULL	MillerTimHiRes[1].jpg	240258
Harry	Millner	Author of 'Pearls of Wisdom"	NULL	NULL	51F4RSEWC9L._SL500_AA300_[1].jpg	240264
John	Milton	English Poet, Prose Writer	1608	1674	miltonportrait[1].jpg	240266
Maria	Mitchell	American Astronomer and Quaker Educator	1818	1889	mitchell.jpg	240271
Josh	Mitteldorf	American Researcher and Educator, Department of Ecology and Evolutionary Biology, University of Arizona, Professor of Physics, Math, Astronomy, and Evolution at Harvard, University of California at Berkeley, Temple University, University of Pennsylvania, LaSalle University and Bryn Mawr, scientist specializing in the biology of aging and the evolution of cooperation	1949	NULL	Joshua_MitteldorfD_220_JPG80[1].jpg	240274
Bob	Moawad	American Motivational Author and Seminar Facilitator	1941	2007	77[1].jpg	240276
Kristen Renwick	Monroe	American Political Scientist, Author and of Political Science at University of California, Irvine	1946	NULL	kristi.photo[1].JPG	240283
Bernard Law "Monty"	Montgomery, 1st Viscount Montgomery of Alamein	Field Marshall known as "Monty", Chief of the Imperial General Staff, Deputy Supreme Commander Europe of NATO	1887	1976	montgomery[1].jpg	240317
Lucy Maud	Montgomery, aka Maud or L.M. Montgomery	Canadian Novelist known for her series of Novels beginning with Anne of Green Gables	1874	1942	220px-LMM_signed_photo[1].jpg	240319
Dwight Lyman	Moody	American Evangelist and Publisher who founded the Moody Church	1837	1899	BI_DLMoody1[1].jpg	240321
Roy E.	Moody	American Motivational Speaker	NULL	NULL	listen[1].jpg	240323
George	Moore, fully George Augustus Moore	Irish Novelist, Playwright, Poet and Critic	1852	1933	220px-Edouard_Manet_Georges_Moore[1].jpg	240325
Rick	Moore	NULL	NULL	NULL	225121-pink-floyd-the-wall[1].jpg	240327
Jim	Morrison	American Lead Singer and Lyricist for The Doors, Music Writer, Poet	1943	1971	bestofthedoors[1].jpg	240338
Nancy	Moser, born Nancy Etta Lynette Jeffrey	American Author of Romance and Historical Novels, Speaker and College Writing Professor	1932	2013	Nancy-Moser[1].jpg	240341
Malcolm	Muggeridge	English Editor, Writer, Journalist, Media Personality and Satirist	1903	1990	2276466[1].jpg	240343
Robert	Muller	Belgium-born French International Civil Servant with the United Nations, Assistant Secretary-General for 40 years, known as "the philosopher of the United Nations"	1923	2010	p-muller[1].jpg	240350
Mike	Murdock	American Televangelist and Pastor of the Wisdom Center	1946	NULL	Mike_Murdock_42005_4PM_3[1].jpg	240358
Ralph	Nader	American Attorney, Consumer Advocate, Political Activist, Lecturer and Author	1934	NULL	NaderRalphThm[1].jpg	240364
Rabbi Nachman of Bratslav or Breslov, aka Reb Nachman Breslover or Nachman from Uman	NULL	Founder of the Breslov Hasidic Movement, Great Grandson of the Baal Shem Tov	1772	1810	nachman-of-breslov2[1].jpg	240368
Keshavan	Nair	Indian Businessman, Speaker, Seminar Leader and Professor at Ohio State University and Indian Institute of Technology in Kampur, India	1940	2002	DrNairpic[1].jpg	240370
John	Naisbitt	American Author, Futurist, Public Speaker, Author of Megatrends	1929	NULL	Naisbitt_John[1].jpg	240372
Napoleon	Bonaparte, Napoleon I	French Emperor, Military and Political Leader of France	1769	1821	napoleon2[1].jpg	240374
Ogden	Nash	American Poet Know as Writer of Light Verse 	1902	1971	Ogden%20Nash%20Photo%20Close[1].jpg	240376
Jawaharlal	Nehru	Hindu Political Leader, Prime Minister of India	1889	1964	J_Nehru[1].jpg	240379
Jack L.	Nelson & William B. Stanley	Authors of Academic Freedom: Fifty Years Standing Still	1985	NULL	NULL	240382
Howard	Nemerov	American Poet	1920	1991	200px-Howard_Nemerov[1].jpg	240384
Richard	Neustadt, fully Richard Elliott Neustadt	American Historian, Political Scientist specializing in the United States Presidency, Advisor to Presidents Harry S. Truman, John F. Kennedy and Lyndon B. Johnson, Author	1919	2003	shapeimage_3[1].jpg	240386
Charles	Newcomb	Screenwriter and Director	NULL	NULL	charlesGoose2[1].jpg	240388
Ernest	Newman	English Music Critic and Musicologist	1868	1959	Ernest_Newman[1].jpg	240392
John Henry	Newman	English Cardinal, Writer	1801	1890	John-Henry-Newman[1].jpg	240394
Huey Percy	Newton	American Political Leader, Founder of Black Panters with Boby Seale	1942	1989	220px-Huey_P._Newton[1].jpg	240396
Isaac	Newton, fully Sir Isaac Newton	English Scientist, Physicist, Mathematician, Astronomer, Natural Philosopher, Alchemist and Theologian	1642	1727	newton5[1].jpg	240398
Wayne	Newton, "Mr. Las Vegas"	American Singer, Musician and Entertainer	1942	NULL	wayne_newton[1].jpg	240400
Harold	Nicolson, fully Sir Harold George Nicolson	English Diplomat, Author, Diarist and Politician	1886	1968	114098_001[1].jpg	240402
Reinhold	Niebuhr, fully Karl Paul Reinhold Niebuhr	American Ethicist, Intellectual, Leftist Neo-Orthodox Christian Theologian and Commentator on Public Affairs	1892	1971	niebuhr[1].jpg	240404
Earl	Nightingale	American Radio Announcer, Author and Motivational Speaker	1921	1989	Earl-Nightingale-R[1].jpg	240438
Florence	Nightingale	English Nurse, Philanthropist	1820	1910	CNMR_01238_L[1].jpg	240440
